0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:29 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:29 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/bookworm.png HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:29 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/bookworm.png HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:29 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:48 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:48 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:48 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:48 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:50 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:50 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:50 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:50 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:53 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:53 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:35:53 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:38:15 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:38:16 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:38:16 -0700] "GET /images/bookworm.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:38:16 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/images/background.jpg HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:42:59 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/HomePage.jsp HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [11/Oct/2019:09:42:59 -0700] "GET /xiaoyanq_CSCI201L_Assignment2/main.css HTTP/1.1" 304 -
